Nickname;Country;Liked_Items;Friends
Joshua Wright;USA;Socks, Spoon;Jonathan Simmons, Rick Fernandez
Michael Lewis;The Netherlands;Socks;
Joseph Benson;Turkey;Socks, Shoes;Daniel Howard
Robert Choi;Belgium;Socks;Andrea Bruce, Derek Hess, Alexis Brown
Steven Wilson;Italy;Sword;John Matthews
Timothy Powell;Belgium;Kitchenaid;
Cynthia Rivera;Belgium;Fork, Toilet, Sword;Thomas Rodriguez, Dr. Stacie Smith, Steven Smith
John Matthews;Belgium;Spoon, Duck, Desk;Brian Simmons, Dr. Cristian Pham, Robert Choi
Jennifer Adams;Belgium;Socks, Spoon;
Dana Roman;Turkey;Desk;Rick Fernandez
Leslie Cordova;Spain;Socks, Spoon, Kitchenaid;James Mills
Mr. David Glover;The Netherlands;Socks;Jennifer Conrad
Teresa Garrett;The Netherlands;Staircase, Socks, Desk;Robert Holmes
Sarah Chavez;Germany;Sword, Duck, Socks;Sandra Walker
Sean Harris;France;Shoes;Greg Carroll, Jonathan Simmons
Derek Hess;Belgium;Knife, Socks, Desk;Leslie Cordova
Brian Obrien;France;Shoes, Sword;
Stephanie Ayers;Turkey;Baseball;Timothy Hurst, Jennifer Conrad
Ryan Gonzalez;Italy;Kitchenaid, Socks;Thomas Rodriguez
Sharon Mcclain;Italy;Toilet, Toilet brush, Spoon;Sandra Walker, Gregory Walton
Christine Lee;Spain;Sword, Desk;Lisa Roach, Sarah Chavez
Jake Gutierrez;Spain;Toilet, Duck;
Kelsey Underwood;USA;Desk;Thomas Joseph
Justin Romero;Germany;Fork;Gwendolyn Miller, James Mills
Richard Heath;The Netherlands;Duck, Desk;Adam Vance, John Mccall
Dr. Barbara Ryan;Spain;Spoon, Duck;
Paul Rosales;Spain;Socks, Gloves, Staircase;
Karla Blanchard;Turkey;Staircase;Victoria Smith, Michele Scott
Tiffany Oliver;Belgium;Spoon;
Julie Thompson;France;Kitchenaid, Spoon, Knife;Timothy Hurst
Adam Vance;Germany;Gloves, Baseball, Kitchenaid;
Gregory Walton;France;Staircase, Baseball;
Sandra Walker;France;Desk, Toilet brush, Toilet;Sean Harris, Patricia Garcia
Joseph Butler;Belgium;Kitchenaid;Zachary Baker
Timothy Butler;Italy;Shoes;Sherri Ho, Robert Choi, Karen Thomas
Jessica Taylor;Italy;Staircase, Fork;
Tara Bailey;Spain;Baseball, Sword;Steven Smith
John Mccall;Turkey;Spoon, Fork;
Carlos Wallace;Germany;Desk;Thomas Joseph
Timothy Hurst;France;Kitchenaid, Fork, Gloves;Ronald White
Kevin Davis;Germany;Staircase, Desk;Ronald White, Andrea Williams
Michele Scott;The Netherlands;Sword, Toilet brush, Staircase;Kevin Davis, Patricia Garcia, Thomas Rodriguez
Gwendolyn Miller;Turkey;Desk;Scott Cooley, Amanda Charles
Ryan Taylor;Belgium;Sword;Cory Bishop
Patricia Garcia;Turkey;Sword, Desk;Michele Scott, Rick Fernandez, Timothy Hurst
Destiny Walker;Germany;Duck;Joseph Butler
Scott Griffith;The Netherlands;Spoon, Sword;Patricia Garcia, Amanda Charles
Gregory Green;France;Spoon, Staircase;Cynthia Smith
Sara Romero;The Netherlands;Desk, Kitchenaid;Mrs. Anna Logan, Melinda Smith
Cory Bishop;Germany;Desk, Toilet brush;Melinda Smith
Donald Cross;France;Spoon;James Mills, Karla Blanchard
Diana Carter;Italy;Sword, Gloves;Scott Griffith
Daniel Fitzpatrick;Germany;Socks, Duck;Jonathan Simmons, Jessica Taylor
Kathy Dawson;Belgium;Sword, Gloves, Fork;Scott Griffith, Sherri Ho
Sergio Ryan;Germany;Kitchenaid, Staircase, Socks;Karla Blanchard, Derek Hess
Mrs. Anna Logan;Turkey;Toilet;
Alexis Brown;Germany;Desk;
Sheri Reynolds;USA;Baseball, Kitchenaid, Toilet brush;Scott Griffith, Tiffany Oliver
Robert Holmes;The Netherlands;Sword, Desk, Duck;Sara Romero, Brian Simmons
Michelle Torres;Italy;Baseball;Zachary Baker, Timothy Herrera
Lisa Roach;Turkey;Baseball, Socks, Toilet;
Ronald White;Turkey;Baseball, Gloves;Alicia Rocha, Andrea Bruce
Alicia Rocha;Belgium;Fork, Shoes;Jessica Taylor, Robert Choi
Laura Hardin;Turkey;Toilet, Fork, Duck;Patricia Garcia, Dana Roman
Derek Harris;Turkey;Kitchenaid, Desk, Spoon;
Kimberly Smith;USA;Baseball, Shoes;Scott Cooley
Dr. Stacie Smith;Spain;Toilet, Gloves, Socks;Mr. David Glover
Dawn Newman;Belgium;Spoon, Toilet brush;Robert Holmes, Andrea Bruce
Alan Tran;Turkey;Socks, Fork, Shoes;Robert Holmes
Melinda Smith;USA;Staircase, Spoon, Toilet;
Karen Thomas;USA;Desk, Toilet brush;Jennifer Adams, Cynthia Smith
Steven Smith;Germany;Socks, Desk, Staircase;
Zachary Baker;Belgium;Kitchenaid;Paul Rosales, Jonathan Simmons
Angela Donaldson;The Netherlands;Staircase;Connor Johnson, John Matthews, Paul Rosales
Jennifer Conrad;Spain;Knife;Adam Vance, Daniel Howard
Tricia Davidson;USA;Kitchenaid;
Thomas Rodriguez;Germany;Gloves;
Timothy Herrera;France;Desk, Sword, Duck;Julie Thompson
Rick Fernandez;France;Kitchenaid, Fork, Socks;John Matthews
Brian Simmons;Belgium;Shoes;Paul Rosales, Alan Tran, Justin Romero
Micheal Wilson;The Netherlands;Toilet;Sheri Reynolds
Aaron Rivas;The Netherlands;Socks, Toilet;
Stephanie Torres;Turkey;Socks;Laura Hardin
Jennifer Ramirez;USA;Spoon;John Matthews, Rick Fernandez
Daniel Howard;France;Duck, Knife;Sherri Ho
Cynthia Smith;The Netherlands;Gloves;Steven Smith, Brian Obrien, Joshua Wright
Andrea Williams;USA;Kitchenaid;Gwendolyn Miller, Dana Roman, Carlos Wallace
Amanda Charles;France;Kitchenaid;Donald Cross
James Mills;Spain;Duck, Staircase;Andrea Bruce
Jonathan Simmons;France;Sword, Fork;Sherri Ho, Cynthia Rivera
Dr. Cristian Pham;Italy;Toilet brush;Timothy Butler
Connor Johnson;Italy;Shoes;
Sherri Ho;USA;Sword, Staircase;Jake Gutierrez, Sheri Reynolds
Thomas Joseph;Spain;Toilet brush;
Megan Harding;Germany;Kitchenaid;Robert Choi, Sharon Mcclain
Gina Miller;Turkey;Toilet, Socks, Duck;Dana Roman, Julie Thompson
Scott Cooley;Germany;Spoon, Sword, Toilet brush;Gwendolyn Miller, Jennifer Ramirez, Dana Roman
Victoria Smith;Turkey;Toilet brush;
Greg Carroll;France;Toilet, Gloves;Kimberly Smith, Andrea Williams, Joseph Butler
Andrea Bruce;The Netherlands;Kitchenaid, Shoes, Desk;Melinda Smith
